Titulo,Preco,Modelo,Fabricante,Ano,Combustivel,Tipo do Veiculo,Potencia,Km Rodado,Direção,Cambio,Cor,Portas,Link,Dates,fipe,rate
Hyundai Hb20 1.6 16v Vision,72990,HB20 VISION 1.6 FLEX 16V MEC,HYUNDAI,2022,Flex,Passeio,,0,,Manual,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-16v-vision-873214247,2021-06-19,65810,0
Troller RF 2000/2000,49000,RF ESPORT T-4 4X4 2.0 CAP. RÍGIDA,TROLLER,2000,Gasolina,,2.0 - 2.9,113750,Hidráulica,Manual,Vermelho,2 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/troller-rf-2000-2000-893677591,2021-06-19,44940,0
Hb20 2017 Confort Plus com 1 ano de garantia Lindo ,45250,HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,2017,Flex,Hatch,1.0,58920,Elétrica,Manual,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-2017-confort-plus-com-1-ano-de-garantia-lindo-895065459,2021-06-19,43854,0
Kwid zen 1.0 4p 2020 baixo km otimo para app,41490,KWID ZEN 1.0 FLEX 12V 5P MEC.,RENAULT,2020,Flex,Hatch,1.0,25000,Hidráulica,Manual,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0-4p-2020-baixo-km-otimo-para-app-852352737,2021-06-19,41840,0
Virtus Confort 1.0 Turbo Automático 2019 ,77900,VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,VW - VOLKSWAGEN,2019,Flex,Sedã,1.0,21000,Elétrica,Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/virtus-confort-1-0-turbo-automatico-2019-869892741,2021-06-19,74571,0
Tracker Premier 1.4 Turbo Automático 2019,96900,TRACKER PREMIER 1.4 TURBO 16V FLEX AUT,GM - CHEVROLET,2019,Flex,SUV,1.4,22883,Elétrica,Automático,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tracker-premier-1-4-turbo-automatico-2019-888923044,2021-06-19,92294,0
Yaris XS Sedan automatico,77500,YARIS XS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2019,Flex,Sedã,1.5,45000,Elétrica,Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/yaris-xs-sedan-automatico-893674235,2021-06-19,76312,0
TOP ,44900,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,Flex,Sedã,1.4,111000,Hidráulica,Automático,Preto,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/top-862525280,2021-06-19,44352,0
Renault Duster Oroch 1.6 16V SCe Express (Flex),114890,DUSTER OROCH EXPRESS 1.6 FLEX 16V MEC.,RENAULT,2022,Flex,Passeio,1.6,0,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-oroch-1-6-16v-sce-express-flex-889263906,2021-06-19,74875,0
Audi A3 Sedan 2.0 ambition 2018,148500,A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,AUDI,2018,Gasolina,Sedã,2.0 - 2.9,47300,Mecânica,Automático,Cinza,4 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-sedan-2-0-ambition-2018-867374389,2021-06-19,134595,0
Fiesta Hatch 1.6,18900,FIESTA 1.6 8V FLEX/CLASS 1.6 8V FLEX 5P,FORD,2005,Flex,,,137000,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/fiesta-hatch-1-6-889044161,2021-06-19,16329,0
Ka Se Tivct 1.0 4P,49490,KA 1.0 S TIVCT FLEX 5P,FORD,2020,Flex,Hatch,1.0,51778,Hidráulica,Manual,Branco,4 portas,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/ka-se-tivct-1-0-4p-890010220,2021-06-19,46271,0
SANDERO 2019/2020 1.0 12V SCE FLEX ZEN MANUAL,50990,SANDERO ZEN FLEX 1.0 12V 5P MEC.,RENAULT,2020,Flex,Passeio,,53832,,Manual,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sandero-2019-2020-1-0-12v-sce-flex-zen-manual-867023498,2021-06-19,49719,0
Fiorino Hard Working 2018 Completa Refrigerada (-10°),72900,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT,2018,Flex,Van/Utilitário,1.4,74292,Hidráulica,Manual,Branco,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiorino-hard-working-2018-completa-refrigerada-10-885543243,2021-06-19,59389,0
Palio economy 2013 2p 10.000 km... ,22500,PALIO 1.0 ECONOMY FIRE FLEX 8V 2P,FIAT,2013,Flex,Passeio,1.0,10000,,Manual,Vermelho,2 portas,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/palio-economy-2013-2p-10-000-km-895878139,2021-06-19,19596,0
Honda Civic EX - Automático - Flex - 2017,92000,CIVIC SEDAN EX 2.0 FLEX 16V AUT.4P,HONDA,2017,Flex,Sedã,2.0 - 2.9,83000,Elétrica,Automático,Preto,4 portas,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-ex-automatico-flex-2017-890561157,2021-06-19,92926,0
SANDERO Expression Flex 1.0 12V 5p,38990,SANDERO EXPRESSION FLEX 1.0 12V 5P,RENAULT,2018,Flex,Hatch,1.0,72000,Hidráulica,Manual,Cinza,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/sandero-expression-flex-1-0-12v-5p-879963325,2021-06-19,38655,0
Doblo Cargo 1.4 flex 2011,29900,DOBLO  CARGO 1.4 MPI FIRE FLEX 8V 3P,FIAT,2011,Flex,Van/Utilitário,1.4,0,Hidráulica,Manual,Branco,2 portas,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/doblo-cargo-1-4-flex-2011-894157637,2021-06-19,30030,0
Peugeot 2008 1.6 Allure Pack (Aut),76990,2008 ALLURE PACK 1.6 FLEX 16V AUT.,PEUGEOT,2020,Flex,Passeio,1.6,20026,Hidráulica,Automático,Branco,4 portas,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/peugeot-2008-1-6-allure-pack-aut-892580442,2021-06-19,76950,0
Honda City  DX 1.5 CINZA COMPLETO COURO FLEX AUTOMÁTICO,42000,CITY SEDAN EX 1.5 FLEX 16V 4P AUT.,HONDA,2011,Flex,Sedã,,73000,Hidráulica,Automático,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-city-dx-1-5-cinza-completo-couro-flex-automatico-895861471,2021-06-19,39741,0
Celta Life 2007 Ac/Moto,14500,CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 3P,GM - CHEVROLET,2007,Flex,Passeio,1.0,115,Mecânica,Manual,Prata,2 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/celta-life-2007-ac-moto-837126434,2021-06-19,14264,0
Ford Ka Se 2019,45900,KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,2019,Flex,Hatch,1.0,65000,Hidráulica,Manual,Branco,4 portas,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-2019-886663007,2021-06-19,44574,0
CHEVROLET TRACKER 1.8 MPFI FREERIDE 4X2 16V FLEX 4P MANUAL.,57900,TRACKER FREERIDE 1.8 16V FLEX 4X2 MEC.,GM - CHEVROLET,2014,Flex,,,78714,,Manual,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-1-8-mpfi-freeride-4x2-16v-flex-4p-manual-880979618,2021-06-19,51909,0
COROLLA 2007/2007 1.8 XEI 16V GASOLINA 4P MANUAL,30900,COROLLA XEI 1.8/1.8 FLEX 16V MEC.,TOYOTA,2007,Gasolina,Passeio,,145077,,Manual,,4 portas,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/corolla-2007-2007-1-8-xei-16v-gasolina-4p-manual-878662560,2021-06-19,29038,0
Hyundai I30 2010 auto. Com teto solar,37000,I30 2.0 16V 145CV 5P AUT.,HYUNDAI,2010,Gasolina,Hatch,2.0 - 2.9,105000,Elétrica,Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-i30-2010-auto-com-teto-solar-895862628,2021-06-19,35293,0
Hyundai Hb20 1.6 Comfort Plus 16v,51890,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,2016,Flex,Passeio,,36800,,Automático,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-comfort-plus-16v-895874391,2021-06-19,45374,0
Fiat Mobi Like 1.0 2020 (Único Dono),46900,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,2020,Flex,Hatch,1.0,0,Hidráulica,Manual,Branco,4 portas,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-1-0-2020-unico-dono-895886819,2021-06-19,42991,0
HR-V 2017/2018 1.8 16V FLEX EX 4P AUTOMÁTICO,98900,HR-V EX 1.8 FLEXONE 16V 5P AUT.,HONDA,2018,Flex,Passeio,,41000,,Automático,,4 portas,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/hr-v-2017-2018-1-8-16v-flex-ex-4p-automatico-875088857,2021-06-19,91916,0
Hyundai Creta Prestigie 2.0  2017,85900,CRETA PRESTIGE 2.0 16V FLEX AUT.,HYUNDAI,2017,Flex,SUV,2.0 - 2.9,85900,Hidráulica,Automático,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-prestigie-2-0-2017-883688971,2021-06-19,85824,0
FOX 10/11 COMPLETO ,25500,FOX 1.0 MI TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,2011,Flex,Hatch,1.0,131255,Hidráulica,Manual,Preto,4 portas,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/fox-10-11-completo-895878589,2021-06-19,25692,0
  CHEVROLET/COBALT 1.8 LT AUTOMÁTICO !! ,39900,COBALT LT 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2014,Flex,Sedã,1.8,90000,Hidráulica,Automático,Branco,4 portas,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cobalt-1-8-lt-automatico-875112903,2021-06-19,37747,0
CRUZE TURBO TOP,82000,CRUZE LT 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,2018,Flex,Sedã,1.4,47000,Elétrica,Automático,Branco,4 portas,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/cruze-turbo-top-894605772,2021-06-19,79754,0
Meriva Joy 1.4 Mecânica - 2012,26490,MERIVA JOY 1.4 MPFI 8V ECONOFLEX 5P,GM - CHEVROLET,2012,Flex,,1.4,189000,Hidráulica,Manual,Preto,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/meriva-joy-1-4-mecanica-2012-894587214,2021-06-19,25858,0
Jetta 2.0 GLI 2019 - Único dono,168490,JETTA GLI 350 TSI 2.0 16V 4P AUT.,VW - VOLKSWAGEN,2019,Gasolina,Sedã,2.0 - 2.9,22000,Elétrica,Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jetta-2-0-gli-2019-unico-dono-892655221,2021-06-19,165340,0
GM - CHEVROLET PRISMA PRISMA SED. LT 1.0 8V FLEXPOWER 4P,39890,PRISMA SED. LT 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,2015,Flex,,,150000,,Manual,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-chevrolet-prisma-prisma-sed-lt-1-0-8v-flexpower-4p-892888845,2021-06-19,39302,0
Kwid 2018 1.0 completo ,39990,KWID ZEN 1.0 FLEX 12V 5P MEC.,RENAULT,2018,Flex,Hatch,1.0,49000,Elétrica,Manual,Branco,4 portas,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/kwid-2018-1-0-completo-895865083,2021-06-19,36900,0
CHEVROLET CLASSIC 1.0 MPFI LS 8V FLEX 4P MANUAL.,32900,CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,2015,Flex,,,75931,,Manual,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-1-0-mpfi-ls-8v-flex-4p-manual-880680994,2021-06-19,28626,0
Onix Joy 1.0 18/19,46000,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,2019,Flex,Hatch,1.0,40000,Elétrica,Manual,Branco,4 portas,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-1-0-18-19-895869596,2021-06-19,45265,0
Venda,43700,PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,2015,Flex,Sedã,1.4,105000,Hidráulica,Manual,Preto,4 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/venda-895861684,2021-06-19,42080,0
VERSA SL 1.6 16V FlexStart 4p Aut. 1 MI KM,68900,VERSA SL 1.6 16V FLEXSTART 4P AUT.,NISSAN,2019,Flex,,,11900,,Automático,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/versa-sl-1-6-16v-flexstart-4p-aut-1-mi-km-865603397,2021-06-19,65521,0
Saveiro Cs Robust 1.6 2P 2019 - Ar Dh,49990,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW - VOLKSWAGEN,2019,Flex,Pick-up,1.6,70000,Hidráulica,Manual,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-cs-robust-1-6-2p-2019-ar-dh-875967873,2021-06-19,48041,0
Fiorino EVO 1.4 Flex 8V 2p,47990,FIORINO FURGÃO EVO 1.4 FLEX 8V 2P,FIAT,2015,Flex,Van/Utilitário,1.4,203200,Mecânica,Manual,Branco,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiorino-evo-1-4-flex-8v-2p-890118491,2021-06-19,44483,0
COMPASS 2021/2021 2.0 16V FLEX LONGITUDE AUTOMÁTICO,142800,COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,2021,Flex,Passeio,,100,,Automático,,4 portas,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/compass-2021-2021-2-0-16v-flex-longitude-automatico-865078620,2021-06-19,141654,0
Hilux,219900,HILUX CD SRV 4X4 2.7 FLEX 16V AUT.,TOYOTA,2021,Flex,Pick-up,2.0 - 2.9,93,Hidráulica,Automático,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-895888799,2021-06-19,186326,0
Renault fluence privilege 2.0 automático ,37900,FLUENCE SEDAN PRIVILÈGE 2.0 16V FLEX AUT,RENAULT,2011,Flex,Sedã,2.0 - 2.9,128000,Hidráulica,Automático,Cinza,4 portas,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/renault-fluence-privilege-2-0-automatico-895878546,2021-06-19,35787,0
RENAULT SANDERO STEPWAY 1.6 8V HI-FLEX 4P,33900,SANDERO STEPWAY HI-POWER 1.6 8V 5P,RENAULT,2013,Flex,,1.0,94151,Hidráulica,Manual,Vermelho,4 portas,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-stepway-1-6-8v-hi-flex-4p-867012880,2021-06-19,32625,0
Caravan Comodoro SLE/1990,17999,CARAVAN COMODORO 4.1/2.5,GM - CHEVROLET,1990,Gasolina,,2.0 - 2.9,999999,Hidráulica,Manual,Azul,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/caravan-comodoro-sle-1990-895853829,2021-06-19,12800,0
CHEVROLET JOY 2019/2020 1.0 SPE4 FLEX MANUAL,49900,JOY HATCH 1.0 8V FLEX 5P MEC,GM - CHEVROLET,2020,Flex,Passeio,,50865,,Manual,,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2019-2020-1-0-spe4-flex-manual-895868896,2021-06-19,49363,0
Chevrolet onix 2020 1.0 turbo flex lt manual,65900,ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,GM - CHEVROLET,2020,Flex,,,60864,,Manual,Branco,4 portas,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2020-1-0-turbo-flex-lt-manual-883268640,2021-06-19,66210,0
Honda Fit 1.5 EXL,88900,FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2020,Flex,Hatch,1.5,20200,Hidráulica,Automático,Azul,4 portas,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-5-exl-869575435,2021-06-19,88459,0
I30 2009 automático 72 km mosca branca ,38500,I30 2.0 16V 145CV 5P AUT.,HYUNDAI,2009,Gasolina,Hatch,2.0 - 2.9,71000,Elétrica,Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/i30-2009-automatico-72-km-mosca-branca-895910128,2021-06-19,32947,0
Chevrolet s10 2008 2.4 mpfi advantage 4x2 cd 8v flex 4p manual,45900,S10 P-UP ADVANT. 2.4/2.4 MPFI F.POWER CD,GM - CHEVROLET,2008,Flex,,,221770,,Manual,,4 portas,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-2008-2-4-mpfi-advantage-4x2-cd-8v-flex-4p-manual-891655628,2021-06-19,38791,0
Jetta  2.0 Comfortline  automático com teto e baixa km ,51900,JETTA COMFORTLINE 2.0 T.FLEX 8V 4P TIPT.,VW - VOLKSWAGEN,2012,Flex,Sedã,,99882,Hidráulica,Automático,,4 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/jetta-2-0-comfortline-automatico-com-teto-e-baixa-km-895860958,2021-06-19,46971,0
Jetta com teto solar e  banco de couro bege ,55900,JETTA COMFORTLINE 2.0 T.FLEX 8V 4P TIPT.,VW - VOLKSWAGEN,2013,Flex,,2.0 - 2.9,101000,Elétrica,Automático,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jetta-com-teto-solar-e-banco-de-couro-bege-868657947,2021-06-19,54785,0
STRADA ADVENTURE CE LOCKER 2010 SUPER CONSERVADA,38900,STRADA ADVENTURE 1.8/ 1.8 LOCKER FLEX CE,FIAT,2010,Flex,Pick-up,1.8,207121,Hidráulica,Manual,Cinza,2 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/strada-adventure-ce-locker-2010-super-conservada-893738505,2021-06-19,34454,0
FOX 1.6 MSI Highline ,43000,FOX HIGHLINE1.6 FLEX 16V 5P,VW - VOLKSWAGEN,2015,Flex,Hatch,1.6,69500,Elétrica,Manual,Prata,4 portas,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/fox-1-6-msi-highline-894677440,2021-06-19,41705,0
Gm Cruze Sedan LT 1.8 Aurtomático,54900,CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,Flex,Sedã,1.8,113400,Hidráulica,Automático,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-cruze-sedan-lt-1-8-aurtomatico-886709964,2021-06-19,52452,0
Grand Vitara ,51000,GRAND VITARA 2.0 16V 4X2/4X4 5P AUT.,SUZUKI,2013,Gasolina,SUV,2.0 - 2.9,99000,Hidráulica,Automático,Prata,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/grand-vitara-895550000,2021-06-19,46470,0
Ford Ka Tecno 2011 - Completo - Laudo aprovado ,19999,KA 1.0 TECNO 8V FLEX 3P,FORD,2011,Flex,Hatch,1.0,101000,Hidráulica,Manual,Preto,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-tecno-2011-completo-laudo-aprovado-893979590,2021-06-19,17146,0
Savero Summer,21000,SAVEIRO CL/ SUMMER 1.8 MI E 1.8,VW - VOLKSWAGEN,2002,Gasolina,Van/Utilitário,1.8,200000,Hidráulica,Manual,Cinza,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/savero-summer-895907190,2021-06-19,18389,0
MITSUBISHI OUTLANDER 2.0 AUT 2015 TOP DE LINHA  !,74980,OUTLANDER 2.0 16V 160CV AUT.,MITSUBISHI,2015,Gasolina,SUV,2.0 - 2.9,59000,Hidráulica,Automático,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-outlander-2-0-aut-2015-top-de-linha-889911767,2021-06-19,69908,0
Honda City EX CVT 4P,100100,CITY SEDAN EXL 1.5 FLEX  16V 4P AUT.,HONDA,2021,Flex,Sedã,,0,Elétrica,Automático,Branco,4 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/honda-city-ex-cvt-4p-888251097,2021-06-19,95000,0
CHEVROLET CRUZE 1.4 TURBO LTZ 16V FLEX 4P AUTOMATICO.,81900,CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,2017,Flex,,,119157,,Automático,,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cruze-1-4-turbo-ltz-16v-flex-4p-automatico-881097144,2021-06-19,82233,0
FORD KA 2019/2020 1.5 TI-VCT FLEX SE SEDAN MANUAL,52990,KA 1.5 SEDAN SE 12V FLEX 4P MEC.,FORD,2020,Flex,Passeio,,33747,,Manual,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-2020-1-5-ti-vct-flex-se-sedan-manual-890047094,2021-06-19,52210,0
Montana Conquest ,25000,MONTANA 1.4 8V CONQUEST ECONOFLEX  2P,GM - CHEVROLET,2010,Flex,Van/Utilitário,1.4,205042,Hidráulica,Manual,Preto,2 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/montana-conquest-895866851,2021-06-19,25195,0
HONDA FIT 1.5 AUTOMÁTICO 2021 FLEX! ,99000,FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2021,Flex,Hatch,1.5,0,Elétrica,Automático,Cinza,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-5-automatico-2021-flex-894233048,2021-06-19,86659,0
CHEVROLET PRISMA 1.4 MPFI LT 8V 2016,45990,PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,2016,Flex,Sedã,,117000,Elétrica,Manual,Branco,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-1-4-mpfi-lt-8v-2016-888549735,2021-06-19,45206,0
Peugeot 207 1.6 Escapade sw 16v,21900,207 SW ESCAPADE 1.6 16V FLEX 5P,PEUGEOT,2010,Flex,Passeio,,999,,Manual,,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/peugeot-207-1-6-escapade-sw-16v-880158389,2021-06-19,20120,0
Suzuki samurai 1995,42000,SAMURAI JX CANVAS 1.3,SUZUKI,1995,Gasolina,Conversível,,127000,Mecânica,Manual,Vermelho,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/suzuki-samurai-1995-895864924,2021-06-19,18308,0
KICKS 2019/2020 1.6 16V FLEXSTART SV 4P XTRONIC,88630,KICKS S 1.6 16V FLEXSTAR 5P MEC.,NISSAN,2020,Flex,Passeio,,42701,,Automático,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kicks-2019-2020-1-6-16v-flexstart-sv-4p-xtronic-858444602,2021-06-19,76521,0
Voyage City G6 - 1.6 8V,35700,VOYAGE 1.6/1.6 CITY  MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2014,Flex,Sedã,1.6,86800,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/voyage-city-g6-1-6-8v-885174549,2021-06-19,35292,0
Montana Sport 1.4 8v Flex ,33900,MONTANA SPORT 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,2011,Flex,Pick-up,1.4,112000,Hidráulica,Manual,Vermelho,,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/montana-sport-1-4-8v-flex-895892982,2021-06-19,30019,0
VW-NEW BEETLE 2.0 / IMPECÁVEL ,31900,NEW BEETLE 2.0 MI MEC./AUT.,VW - VOLKSWAGEN,2000,Gasolina,Hatch,2.0 - 2.9,81900,Hidráulica,Manual,Amarelo,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-new-beetle-2-0-impecavel-821408034,2021-06-19,24476,0
JETTA 2012/2012 2.0 COMFORTLINE FLEX 4P TIPTRONIC,49900,JETTA COMFORTLINE 2.0 T.FLEX 8V 4P TIPT.,VW - VOLKSWAGEN,2012,Flex,Passeio,,133000,,Automático,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jetta-2012-2012-2-0-comfortline-flex-4p-tiptronic-867227683,2021-06-19,46971,0
