Titulo,Preco,Modelo,Fabricante,Ano,Combustivel,Tipo do Veiculo,Potencia,Km Rodado,Direção,Cambio,Cor,Portas,Link,Dates,fipe,rate
Corsa Sedan 2002 - Abaixo da Média (Não é Leilão),9000,CORSA SED.WIND 1.0/MILLENIUM/CLASSIC VHC,GM - CHEVROLET,2002,Gasolina,Sedã,1.0,247000,Mecânica,Manual,Cinza,,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corsa-sedan-2002-abaixo-da-media-nao-e-leilao-895873959,2021-06-19,11970,24
GM/ Celta 4P Spirit,12500,CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,2007,Flex,Hatch,1.0,143056,Mecânica,Manual,Prata,4 portas,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/gm-celta-4p-spirit-895868052,2021-06-19,16343,23
Fiat Pálio Fire 2012 Prata Completo,17900,PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,2012,Flex,Hatch,1.0,0,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-fire-2012-prata-completo-895887850,2021-06-19,23477,23
Ford Ka em ótimo estado ,32500,KA TRAIL 1.0 12V FLEX MEC. 5P,FORD,2018,Flex,Hatch,1.0,52500,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-em-otimo-estado-895854142,2021-06-19,42137,22
Stilo 2009 ,20000,STILO DUALOGIC 1.8 SPORTING FLEX 8V 5P,FIAT,2009,Flex,Hatch,1.8,207000,Elétrica,Semi-Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/stilo-2009-895910051,2021-06-19,25693,22
"Nissan Sentra 06, automático, completo, brancos de couro",11500,SENTRA GXE/ SER,NISSAN,2006,Gasolina,Passeio,1.8,170000,Hidráulica,Automático,Preto,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/nissan-sentra-06-automatico-completo-brancos-de-couro-895883285,2021-06-19,14828,22
Chevrolet Meriva,16000,MERIVA MAXX 1.8 MPFI 8V FLEXPOWER,GM - CHEVROLET,2007,Flex,Passeio,1.8,180000,Hidráulica,Manual,Cinza,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-meriva-893125379,2021-06-19,20558,22
Siena Fire Flex - 1.0 8v - 2007,13800,SIENA 1.0/ EX 1.0 MPI FIRE/ FIRE FLEX 8V,FIAT,2007,Flex,Sedã,1.0,99500,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-fire-flex-1-0-8v-2007-895868495,2021-06-19,17848,22
Land Rover Discovery3  HSE 2008,49500,DISCOVERY3 HSE 4.4 V8 4X4 299CV AUT.,LAND ROVER,2008,Gasolina,SUV,4.0 ou mais,188000,Hidráulica,Automático,,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/land-rover-discovery3-hse-2008-886143478,2021-06-19,63894,22
Escort hobby 94,4200,ESCORT HOBBY 1.0,FORD,1994,Gasolina,Sedã,1.0,78000,Mecânica,Manual,Cinza,2 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/escort-hobby-94-895859074,2021-06-19,5420,22
Stilo 2009 ,20000,STILO DUALOGIC 1.8 SPORTING FLEX 8V 5P,FIAT,2009,Flex,Hatch,1.8,207000,Elétrica,Semi-Automático,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/stilo-2009-895910051,2021-06-19,25693,22
Classic 2014 BAIXO KM,19900,CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,2014,Flex,Sedã,1.0,81000,Hidráulica,Manual,Cinza,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/classic-2014-baixo-km-895879628,2021-06-19,25367,21
Uno vivace 1.0 2011,17000,UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P,FIAT,2011,Flex,Hatch,1.0,123,Mecânica,Manual,Amarelo,4 portas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-1-0-2011-895905904,2021-06-19,21613,21
Gol 1.0 8v flex simples ,11000,GOL CITY 1.0 MI 8V 4P,VW - VOLKSWAGEN,2005,Flex,Hatch,1.0,300000,Mecânica,Manual,Cinza,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-8v-flex-simples-895906923,2021-06-19,13964,21
Volkswagen Gol G4 ano 2008,12000,GOL CITY (TREND) 1.0 MI TOTAL FLEX 8V 2P,VW - VOLKSWAGEN,2008,Flex,Hatch,1.0,122000,Mecânica,Manual,Vermelho,2 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-g4-ano-2008-895859678,2021-06-19,15376,21
Dodge journey 7 lugares com dvd,30000,JOURNEY SXT 2.7 V6 185CV AUT.,DODGE,2009,Gasolina,SUV,2.0 - 2.9,175000,Hidráulica,Automático,Prata,4 portas,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/dodge-journey-7-lugares-com-dvd-895376165,2021-06-19,38172,21
"Fiesta 09 completo,funciona tudo,aceito trocas leia a descrição ",17500,FIESTA SED. 1.6 8V FLEX 4P,FORD,2009,Flex,Sedã,1.6,0,Hidráulica,Manual,Preto,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiesta-09-completo-funciona-tudo-aceito-trocas-leia-a-descricao-895892096,2021-06-19,22248,21
Renault Sandero 2020 Modelo Novo com Led Tabela 49.800Mil por 39.500Mil,39500,SANDERO ZEN FLEX 1.0 12V 5P MEC.,RENAULT,2020,Flex,Hatch,1.0,20000,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2020-modelo-novo-com-led-tabela-49-800mil-por-39-500mil-894612702,2021-06-19,49719,20
Gla200 2015 ,93900,CLA-200 VISION 1.6 TB 16V FLEX AUT.,MERCEDES-BENZ,2015,Flex,SUV,1.6,71000,Elétrica,Automático,Cinza,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gla200-2015-895105798,2021-06-19,117730,20
Vendo Celta 2011,16500,CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,2010,Flex,Hatch,1.0,126000,Hidráulica,Manual,Prata,4 portas,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-celta-2011-895867612,2021-06-19,20721,20
